,,Arsenal,Everton,Fulham,Manchester City,Newcastle United,Queens Park Rangers,Reading,West Bromwich Albion,West Ham United,Wigan Athletic,Aston Villa,Chelsea,Liverpool,Manchester United,Norwich City,Southampton,Stoke City,Sunderland,Swansea City,Tottenham Hotspur
Everton vs Reading,tie%,,15.2,,,,,15.2,,,,,,,,,,,,,
Everton vs Reading,avg_goles,,3.617,,,,,2.21,,,,,,,,,,,,,
Everton vs Reading,avg_tiros,,20.193,,,,,10.25,,,,,,,,,,,,,
Everton vs Reading,avg_pases,,326.371,,,,,208.726,,,,,,,,,,,,,
Everton vs Reading,avg_quites,,104.117,,,,,101.014,,,,,,,,,,,,,
Everton vs West Bromwich Albion,win%,,58.4,,,,,,27.800000000000004,,,,,,,,,,,,
Everton vs West Bromwich Albion,loss%,,27.800000000000004,,,,,,58.4,,,,,,,,,,,,
Everton vs West Bromwich Albion,tie%,,13.8,,,,,,13.8,,,,,,,,,,,,
Everton vs West Bromwich Albion,avg_goles,,3.802,,,,,,2.751,,,,,,,,,,,,
Everton vs West Bromwich Albion,avg_tiros,,20.176,,,,,,12.472,,,,,,,,,,,,
Everton vs West Bromwich Albion,avg_pases,,294.609,,,,,,247.95,,,,,,,,,,,,
Everton vs West Bromwich Albion,avg_quites,,107.994,,,,,,100.188,,,,,,,,,,,,
Everton vs West Ham United,win%,,51.0,,,,,,,32.800000000000004,,,,,,,,,,,
Everton vs West Ham United,loss%,,32.800000000000004,,,,,,,51.0,,,,,,,,,,,
Everton vs West Ham United,tie%,,16.2,,,,,,,16.2,,,,,,,,,,,
Everton vs West Ham United,avg_goles,,3.518,,,,,,,2.886,,,,,,,,,,,
Everton vs West Ham United,avg_tiros,,21.281,,,,,,,12.74,,,,,,,,,,,
Everton vs West Ham United,avg_pases,,280.869,,,,,,,236.578,,,,,,,,,,,
Everton vs West Ham United,avg_quites,,103.195,,,,,,,125.131,,,,,,,,,,,
Everton vs Wigan Athletic,win%,,50.0,,,,,,,,32.5,,,,,,,,,,
Everton vs Wigan Athletic,loss%,,32.5,,,,,,,,50.0,,,,,,,,,,
Everton vs Wigan Athletic,tie%,,17.5,,,,,,,,17.5,,,,,,,,,,
Everton vs Wigan Athletic,avg_goles,,2.827,,,,,,,,2.273,,,,,,,,,,
Everton vs Wigan Athletic,avg_tiros,,16.262,,,,,,,,14.747,,,,,,,,,,
Everton vs Wigan Athletic,avg_pases,,272.26,,,,,,,,316.751,,,,,,,,,,
Everton vs Wigan Athletic,avg_quites,,114.758,,,,,,,,78.621,,,,,,,,,,
Everton vs Aston Villa,win%,,65.0,,,,,,,,,21.0,,,,,,,,,
Everton vs Aston Villa,loss%,,21.0,,,,,,,,,65.0,,,,,,,,,
Everton vs Aston Villa,tie%,,14.000000000000002,,,,,,,,,14.000000000000002,,,,,,,,,
Everton vs Aston Villa,avg_goles,,3.932,,,,,,,,,2.394,,,,,,,,,
Everton vs Aston Villa,avg_tiros,,20.337,,,,,,,,,11.684,,,,,,,,,
Everton vs Aston Villa,avg_pases,,278.254,,,,,,,,,233.363,,,,,,,,,
Everton vs Aston Villa,avg_quites,,114.054,,,,,,,,,111.765,,,,,,,,,
